Subject,Active_Engagement,Perceptual_Abilities,Musical_Training,Emotions,Singing_Abilities,General_Sophistication,High_Low,PLV,Age,Male_Female
A0216,22,47,19,22,25,54.5,0,0.21,28,1
A0270,32,49,2,34,25,54,1,0.78,33,0
A0280,39,49,28.5,34,27,75,1,0.72,32,1
A0305,23,51,3.5,27,22,42.5,1,0.67,25,1
A0306,39,55,39,38,37,90.5,1,0.77,25,0
A0307,29,42,15.5,34,36,66,1,0.815,20,1
A0314,31,55,19,36,40,92,1,0.845,22,0
A0323,30,43,3.5,28,22,48.5,0,0.41,20,1
A0326,28,25,23,38,19,56.5,0,0.29,20,1
A0344,27,41,15,27,45,86,1,0.64,22,0
A0345,30,49,19.5,27,24,65.5,1,0.815,23,0
A0353,27,29,6,32,16,44.5,0,0.41,22,0
A0354,41.5,51,40,38,42,102.5,1,0.855,20,0
A0355,41.5,51,9,31,20,60,1,0.68,20,0
A0357,17,54,16.5,28,29,61,1,0.67,20,1
A0358,21,49,7.5,30,15,46.5,1,0.725,20,1
A0362,51,52,24.5,41,33,89.5,1,0.71,19,0
A0364,39,48,2,28,16,54,0,0.235,21,0
A0365,36,54,12,39,20,58,0,0.365,21,1
A0367,19,34,2,17,25,43,1,0.72,21,1
A0368,29,50,15,35,25,63,0,0.27,22,1
A0369,30,55,22,36,28,70.5,1,0.82,19,1
A0370,42,37,9.5,31,16,62.5,0,0.505,23,0
P010,34,52,7,32,30,74,0,0.465,32,0
P011,30,30,5,27,16,37,0,0.57,29,1
P014,34,37,8.5,26,27,65,0,0.46,47,1
P015,44,43,10,28,38,76,0,0.275,36,1
P022,42,42,6,29,27,68,1,0.685,31,1
