,wav_file,sentence_number,file,word
0,0.0,1,The_Black_Willow.mrg,Black Willow
1,0.0,1,cable_spool_fort.mrg,Cable Fort by Bill Glover
2,0.0,1,easy_money.mrg,Easy Money by Bill Glover
3,0.0,1,lw1.mrg,stood stock still waiting for the first tiny gleam from the scout craft to appear in the darkness of the
4,0.0,2,The_Black_Willow.mrg,Allan sat down at his desk and pulled the chair in close
5,0.0,2,cable_spool_fort.mrg,Hey Roy
6,0.0,2,easy_money.mrg,Charles Acres called me on a Thursday afternoon just like
7,0.0,2,lw1.mrg,The gentle constant breeze of recycled air from the vent above blew an annoying hair against her nose but she ignored it
8,0.0,3,cable_spool_fort.mrg,What
9,0.0,3,easy_money.mrg,I seen him since high school maybe twenty years before and we were never buddies in the first place
10,0.0,3,lw1.mrg,A gasp from the psychic broke her silent vigil and she turned
11,0.0,4,The_Black_Willow.mrg,Opening a side drawer he took out a piece of paper and his
12,0.0,4,cable_spool_fort.mrg,You suck Chad said
13,0.0,4,easy_money.mrg,He said he had a business proposition for me
14,0.0,4,lw1.mrg,Results Harmon she suppressed the surge of annoyance that ran through her as she contemplated the gift of getting all the hot news first
15,0.0,5,The_Black_Willow.mrg,After filling his pen Allan looked at his paper in the orange glow from the lantern set back in the right hand corner
16,0.0,5,cable_spool_fort.mrg,He wished Roy fall for that gag every time get me a big rock Roy
17,0.0,5,easy_money.mrg,So I I
18,0.0,5,lw1.mrg,face slowly animated joy sweeping in to replace stern concentration
19,0.0,6,The_Black_Willow.mrg,His pen cast a forbidding line of shadow across the page echoing the darkness crouching in the edges of the struggling glow
20,0.0,6,cable_spool_fort.mrg,Roy stooped to pick up a big white rock that looked like a dirty lump of chalk and handed it to Chad
21,0.0,6,lw1.mrg,says the planet
22,0.0,7,The_Black_Willow.mrg,The only other illumination came from a lurid moonlight filtered through thin branches and clouds casting its bone pale glow onto the pine floorboards
23,0.0,7,cable_spool_fort.mrg,Chad took the rock with disgust as Roy returned to staring at his shoes
24,0.0,7,easy_money.mrg,told meet for coffee at the diner down the street at seven
25,0.0,8,The_Black_Willow.mrg,Allan unfolded another page this one crowded with ranks of letters in tight formation from left to right
26,0.0,8,cable_spool_fort.mrg,Chad was six and at eight Roy should have been teasing or ordering Chad around or something
27,0.0,8,lw1.mrg,Thriving with life large and small forms no buildings of any kind metals and stable atmosphere
28,0.0,9,cable_spool_fort.mrg,But since his fall the year before Roy had been shuffling and doing what he was told
29,0.0,9,easy_money.mrg,I was there early
30,0.0,10,The_Black_Willow.mrg,The lines of letters stepped into their divisions in the shape of a outline the loose dry skeleton of a tale lay exposed beneath their feet awaiting tendons muscle and blushing skin
31,0.0,10,cable_spool_fort.mrg,Chad strained and pounded the rock into the iron hole until he could smell the dust
32,0.0,10,easy_money.mrg,Thank you for coming Ed
33,0.0,10,lw1.mrg,He
34,0.0,11,The_Black_Willow.mrg,Allan reviewed the troops all prepared to their task to form the tale of a young man returning home from Life Abroad to find his childhood friend a bride to be thus upsetting the apple cart of his plan clarified of course by his very time away from her he loved best
35,0.0,11,easy_money.mrg,was already there sitting in booth warming his hands on cup coffee
36,0.0,11,lw1.mrg,says we should come now immediately before the probe is reported late
37,0.0,12,The_Black_Willow.mrg,Although the concept was a simple one Allan thought it had potential
38,0.0,12,cable_spool_fort.mrg,It smelled like first grade
39,0.0,12,easy_money.mrg,looked like jerked meat on the bone
40,0.0,12,lw1.mrg,Harmon that good nothing son of beta get his the gate and here NOW or open fire on him when we come Tara
41,0.0,13,The_Black_Willow.mrg,Besides the public liked a good simple romance
42,0.0,13,cable_spool_fort.mrg,He wished he were there now even if he did have to sit next to Roy
43,0.0,13,easy_money.mrg,was wearing new jacket snow boots but had on Hawaiian shirt underneath khaki shorts all things
44,0.0,13,lw1.mrg,Of all the
45,0.0,14,The_Black_Willow.mrg,Perhaps this will be more he thought and began to write
46,0.0,14,cable_spool_fort.mrg,The rock was too big to fit into the iron hub of the big cable so Chad leaned it against the and slid down off the wood on his belly to admire his handiwork
47,0.0,14,easy_money.mrg,His tan was obviously deep old but it looked like work tan not the kind you at the beach
48,0.0,14,lw1.mrg,no doubt with orders from Mason was questioning her command decisions
49,0.0,15,The_Black_Willow.mrg,They at each other lost in the rapture of love based so deeply within their hearts that they had never seen it before
50,0.0,15,cable_spool_fort.mrg,The fort was a lone wooden cable like a tall barrel with thick disks on its ends each the size of a dinner table
51,0.0,15,easy_money.mrg,His hands were thin huge knuckled with obvious
52,0.0,16,The_Black_Willow.mrg,What about Roger she asked knowing that the answer no longer mattered
53,0.0,16,cable_spool_fort.mrg,Several boards were missing making a door to the small room inside
54,0.0,16,easy_money.mrg,the mining business is treating you pretty good huh Charles
55,0.0,17,The_Black_Willow.mrg,This is good he thought pausing to raise the low light of the lantern
56,0.0,17,cable_spool_fort.mrg,The tall flag marked it as to defend now
57,0.0,17,easy_money.mrg,the sort call Chuck
58,0.0,18,The_Black_Willow.mrg,I
59,0.0,18,cable_spool_fort.mrg,He looked around trying not to seem nervous
60,0.0,18,easy_money.mrg,linguistics researcher Ed
61,0.0,19,The_Black_Willow.mrg,I may finish this story
62,0.0,19,cable_spool_fort.mrg,The sky met the flat ground in all directions on the other side of the chain link fence
63,0.0,19,easy_money.mrg,took sip closed his eyes like the cheap cup coffee was really something special
64,0.0,20,The_Black_Willow.mrg,As he thought this a wind house slipping through walls chill him
65,0.0,20,cable_spool_fort.mrg,Chad checked the other fort out of the corner of his eye
66,0.0,20,easy_money.mrg,Well I was researcher I taught little at community college
67,0.0,21,The_Black_Willow.mrg,papers flame as thin fingers of a great black willow rapped gently on window wall like a stranger knocking on his chamber door
68,0.0,21,cable_spool_fort.mrg,Two forts stood on the playground and a hot bare battlefield separated them
69,0.0,21,easy_money.mrg,set the cup down looked straight at for the first time
70,0.0,22,The_Black_Willow.mrg,This was no stranger however twisted ancient thing was older than Allan its branches rapping on his window since his childhood
71,0.0,22,cable_spool_fort.mrg,A massive rusted A frame swing marked the border though nobody was swinging in the hot sun
72,0.0,22,easy_money.mrg,your um business
73,0.0,23,easy_money.mrg,Fine
74,0.0,24,easy_money.mrg,I waived down waitress ordered cup decaf slice pie
75,0.0,25,easy_money.mrg,I did
76,0.0,28,easy_money.mrg,noticed just how tired looked around the eyes
77,0.0,29,easy_money.mrg,Charlie Boy had been working hard lately figured
78,0.0,31,easy_money.mrg,knew every in quite few the state police in Iowa see them bringing old in ringer
79,1.0,15,lw1.mrg,what I get for not using mercenaries
80,1.0,16,lw1.mrg,She returned to her watch regarding her own reflection in the long window
81,1.0,17,lw1.mrg,Mahogany black curly hair cut short in the typical military style framed a dark skinned face
82,1.0,18,lw1.mrg,It was not an attractive face right now her ebony eyes by hours on the watch full lips with frustration
83,1.0,19,lw1.mrg,She had the look of every leader she had ever known
84,1.0,20,lw1.mrg,At six foot two she stood a full head taller than even her first officer
85,1.0,22,lw1.mrg,Her expression completed the imposing effect
86,1.0,23,cable_spool_fort.mrg,larger of the two forts was a squat black bunker made of tires two big tractor tires capped with one from a truck and two smaller ones from cars
87,1.0,23,lw1.mrg,She picked imaginary flecks off her stark gray jumpsuit and snorted
88,1.0,24,The_Black_Willow.mrg,Its thin drawn fingers framed the bloated moon whose eerie radiation now bathed the room directly
89,1.0,24,cable_spool_fort.mrg,The older boys lay around in shade and napped inside the walls
90,1.0,24,lw1.mrg,You look like hell Tar
91,1.0,25,The_Black_Willow.mrg,The great jaundiced eye stared down at the author who up through his tiny frame with trepidation
92,1.0,25,lw1.mrg,blow this
93,1.0,26,The_Black_Willow.mrg,Allan recalled himself and focused once more on the incomplete page before him
94,1.0,26,cable_spool_fort.mrg,They were watching now from well defended spy holes or maybe they were performing secret experiments and swearing bloody oaths
95,1.0,26,lw1.mrg,let fatigue get to you
96,1.0,27,The_Black_Willow.mrg,His pen flickered forth words dancing out from its
97,1.0,27,cable_spool_fort.mrg,Chad wished he were old enough to be one of them
98,1.0,27,lw1.mrg,She used the discretion of the mirrored window to
99,1.0,28,The_Black_Willow.mrg,In the eye the
100,1.0,28,cable_spool_fort.mrg,Maybe Tucker would let him in after he saw Chad chicken
101,1.0,28,lw1.mrg,to defy United Earth Command and sever all ties from Earth
102,1.0,29,The_Black_Willow.mrg,the the the the the
103,1.0,29,cable_spool_fort.mrg,You play robots Roy asked
104,1.0,30,The_Black_Willow.mrg,The author leaned back with slight sigh if both exhausted satisfied by his effort
105,1.0,30,cable_spool_fort.mrg,Chad felt his heart beat a little faster and his cheeks burned
106,1.0,31,The_Black_Willow.mrg,He held hand to his forehead eyes closed face flushed
107,1.0,31,cable_spool_fort.mrg,He had invented the robots game to make fun of Roy but Roy had never figured that out either
108,1.0,32,The_Black_Willow.mrg,I did again he thought
109,1.0,32,cable_spool_fort.mrg,It was Roy
110,1.0,33,easy_money.mrg,He and went on in softer sadder voice I guess I
111,1.0,34,The_Black_Willow.mrg,After all the end to lose control again
112,1.0,34,cable_spool_fort.mrg,shuffled off without argument his baseball cap pulled low to cover his bald head and brain plug and his shoe laces untied
113,1.0,35,The_Black_Willow.mrg,His breath returning to normal rhythms he dared to look the page before him
114,1.0,35,easy_money.mrg,looked around
115,1.0,36,The_Black_Willow.mrg,His face soft if caught between smile tears he draped his loose cape over her shoulders
116,1.0,36,cable_spool_fort.mrg,Roy had taught him to tie his shoes when Chad was five
117,1.0,37,The_Black_Willow.mrg,Come darling he whispered
118,1.0,37,cable_spool_fort.mrg,He thought about gathering himself
119,1.0,37,easy_money.mrg,Charles might be for real but he was still going to get me in deep trouble
120,1.0,38,The_Black_Willow.mrg,Where to take you one need never think those left behind
121,1.0,38,cable_spool_fort.mrg,Roy was too slow but he dare step away from his fort
122,1.0,38,easy_money.mrg,make real clear right you were joking buddy
123,1.0,39,The_Black_Willow.mrg,They stepped together into his carriage her eyes wide with wonder she touched felt conveyed if through her skin the nature the rails reins the
124,1.0,39,cable_spool_fort.mrg,He took another careful look over his shoulder and bent to pluck a yucca spear as if that were what drew his interest
125,1.0,39,easy_money.mrg,Otherwise this conversation is over
126,1.0,40,The_Black_Willow.mrg,They took their seats within the car his driver set the horses trotting
127,1.0,40,cable_spool_fort.mrg,The long blade of the yucca had a sharp tip but the only weapons allowed according to Nursery rules of engagement were smelly or stems covered with spiked yellow
128,1.0,40,easy_money.mrg,got parole officer to explain things to and he like that kinda talk
129,1.0,41,The_Black_Willow.mrg,few yards they kicked up dust along the roadway then they raised their hooves took to the air
130,1.0,41,cable_spool_fort.mrg,The tiny hurt but nobody was allowed to beat you up if you just used
131,1.0,41,easy_money.mrg,Right
132,1.0,42,The_Black_Willow.mrg,She afraid but knowing that no harm would come to her by his hand
133,1.0,42,cable_spool_fort.mrg,The hot August sun was settling toward the time that Rayburn would bring the milk tray out of the cinder block building where the toddlers and babies were kept
134,1.0,42,easy_money.mrg,Right
135,1.0,43,cable_spool_fort.mrg,The older boys wait much longer before attacking
136,1.0,43,easy_money.mrg,Sorry
137,1.0,44,The_Black_Willow.mrg,The New England woods disappeared even the greatest pines shrinking to they mounted the sky
138,1.0,44,cable_spool_fort.mrg,Meanwhile Roy stalked around the fence edge bending to pick as he went
139,1.0,44,easy_money.mrg,Charles looked out the window at the passing traffic push through dirty slush for awhile
140,1.0,45,easy_money.mrg,Like I was saying
141,1.0,46,easy_money.mrg,I I I
142,1.0,47,easy_money.mrg,waited until waitress was gone before going on Why me
143,1.0,49,easy_money.mrg,You always seemed connections in school he shrugged
144,1.0,50,easy_money.mrg,You were first person who mind
145,1.0,51,easy_money.mrg,First person
146,1.0,52,easy_money.mrg,Twenty years out of high school
147,1.0,53,easy_money.mrg,If he pulled my leg any harder was coming off
148,1.0,54,easy_money.mrg,How much of this are we talking about
149,1.0,55,easy_money.mrg,Four Hundred ounces start
150,1.0,56,easy_money.mrg,Four Hundred
151,1.0,57,easy_money.mrg,I pulled out my palm phone looked up number
152,1.0,58,easy_money.mrg,lot
153,1.0,59,easy_money.mrg,very small part of what I sell
154,1.0,60,easy_money.mrg,He drained last of his cup tossed bills on table
155,1.0,61,easy_money.mrg,I
156,1.0,63,easy_money.mrg,I I I
157,1.0,64,easy_money.mrg,through my life taking kind chance
158,2.0,29,lw1.mrg,She watched the psi bob her head unaware of the rest of the bridge shaking blonde curls as she away with the approaching psi relay on ship
159,2.0,30,lw1.mrg,She seemed so self conscious and shallow on the outside but having that incredible gift
160,2.0,31,lw1.mrg,There had to be more to her
161,2.0,32,lw1.mrg,Well if she pan out be terminated
162,2.0,33,lw1.mrg,Any crew member that would jeopardize the project was meat
163,2.0,34,lw1.mrg,It would be a shame to lose that talent though
164,2.0,35,lw1.mrg,her first officer was staring at his panel
165,2.0,37,lw1.mrg,He was what this was all about
166,2.0,38,lw1.mrg,She watched his graceful fingers ending in thick black claws tap out calculations on the panel
167,2.0,39,lw1.mrg,His pointed ears back and forth catching every sound from the bridge while his long tail swished to the rhythm of his thoughts
168,2.0,40,lw1.mrg,Only those of the Insurrection inner team knew he was no common beta furry
169,2.0,41,lw1.mrg,His silken fur which would be golden and striped with jet black bands was dyed perfectly to a pure black and his mane trimmed and thinned as to be indistinguishable from the rest of his coat
170,2.0,42,lw1.mrg,His eyes had been treated and darkened to a rich purple to disguise the brilliant golden yellow color that would mark him as an Alpha and leader of his
171,2.0,45,The_Black_Willow.mrg,Above them the Milky Way drew near as if the stars themselves could be reached
172,2.0,45,cable_spool_fort.mrg,Every move Roy made since the accident was smooth and sudden and strange like a remote control boy
